,Country Name,Country Code,Year,Birth Rate,Population_male,Population_female,Population_total,Median_age,Human Development Index,PM2.5_pollution,Urban population rate,Female_employment_rate,GDP per Capita,female_population_rate_15to44,Continent Name
117,Sudan,SDN,2000,38.097,13231789,13066984,26298773,16.0,0.424,50.10416571,32.495,23.196,378.157501220703,43.85051669153337,Africa
118,Senegal,SEN,2000,39.169,4786669,4917618,9704287,16.4,0.388,63.66018386,40.32,30.622,619.642123524918,43.12247750053764,Africa
119,Singapore,SGP,2000,13.7,2058118,1969770,4027887,33.7,0.831,18.36867682,100.0,50.474,23852.8389514753,51.76286166131527,Asia
120,Solomon Islands,SLB,2000,35.271,222168,207810,429978,17.3,0.486,10.60395119,15.813,80.856,976.428268952486,44.5707617535249,Oceania
121,Sierra Leone,SLE,2000,44.991,2275881,2308186,4584067,16.9,0.318,50.41239821,35.626,63.059,138.713941615327,41.80202548668085,Africa
122,El Salvador,SLV,2000,27.465,2869807,3088675,5958482,20.2,0.617,30.14238869,58.912,43.645,1977.84061443838,46.18016687088045,North America
123,Serbia,SRB,2000,9.8,3628454,3887892,7516346,38.6,0.69,33.01938236,52.769,39.891,914.785719885861,39.70691852952013,Europe
124,Sao Tome and Principe,STP,2000,39.438,71620,72094,143714,16.7,0.501,34.15202995,53.424,30.797,557.0,44.34557660831689,Africa
125,Slovenia,SVN,2000,9.1,967614,1021311,1988925,36.8,0.821,22.23019169,50.754,47.803,10201.3035366727,43.29102532395903,Europe
126,Sweden,SWE,2000,10.2,4386578,4485532,8872109,38.3,0.904,8.433887717,84.026,55.199,29624.9126748618,37.75058288831222,Europe
127,Eswatini,SWZ,2000,32.162,496570,533927,1030496,16.2,0.471,24.84005617,22.686,33.122,1686.6575322622,44.77700135037188,Africa
128,Chad,TCD,2000,51.324,4111592,4147546,8259137,14.6,0.291,60.26263791,21.637,59.897,168.117658247775,40.22482694885446,Africa
129,Togo,TGO,2000,38.668,2495124,2512911,5008035,17.2,0.446,50.96507963,32.907,52.944,297.899506747022,43.83085990709584,Africa
130,Thailand,THA,2000,13.526,31072431,31994172,63066603,30.1,0.653,34.53332391,31.386,63.507,2004.10705891031,50.9282464151322,Asia
131,Tajikistan,TJK,2000,31.771,3079596,3193403,6272998,17.2,0.56,40.96379882,26.501,26.974,137.18190923442,45.652967328734775,Asia
132,Tonga,TON,2000,28.378,52142,50460,102603,19.3,0.685,10.90395976,23.012,41.874,1996.51557758043,44.13198573127235,Oceania
133,Trinidad and Tobago,TTO,2000,15.211,659662,672541,1332203,26.3,0.712,21.56575577,55.905,40.153,6120.94270389706,51.09041679243351,North America
134,Tunisia,TUN,2000,17.002,4960458,4932858,9893316,23.3,0.658,34.07548389,63.432,19.903,2170.50867078119,50.77590422995195,Africa
135,Tanzania,TZA,2000,42.131,17040809,17422895,34463704,16.3,0.398,24.45378932,22.309,81.737,399.462768554688,42.9406307045988,Africa
136,Uganda,UGA,2000,48.593,11750782,12269915,24020697,13.8,0.394,39.92874967,14.786,60.832,257.829605739453,40.36988681788394,Africa
137,Ukraine,UKR,2000,7.8,22773527,26402974,49176500,36.8,0.7,19.38182436,67.145,47.02,658.344604492188,40.98774213999417,Europe
138,Uruguay,URY,2000,15.768,1594941,1697283,3292224,30.9,0.753,10.1405298,92.028,41.222,6932.47813396337,41.337537699959285,South America
139,United States,USA,2000,14.4,138910694,143251716,282162411,34.2,0.891,11.94563014,79.057,56.445,36329.9560727102,43.30037123913195,North America
140,Uzbekistan,UZB,2000,21.4,12329367,12321034,24650400,20.2,0.607,37.00236184,46.126,40.598,558.226802377,46.7274176513207,Asia
141,Samoa,WSM,2000,31.005,95721,88287,184008,18.5,0.683,11.04364215,21.977,39.473,1406.76568300557,42.97291787012809,Oceania
142,South Africa,ZAF,2000,20.705,22221377,24591889,46813266,20.9,0.633,28.69361318,56.891,40.049,3241.66139605189,47.46050715055901,Africa
143,Zambia,ZMB,2000,45.866,4762771,5128364,9891136,14.6,0.418,26.61195132,34.802,46.064,364.026145370374,42.76301370183548,Africa
144,Zimbabwe,ZWE,2000,35.637,5621605,6213071,11834676,16.8,0.452,23.89897215,33.758,57.841,565.284389703613,47.30019985285856,Africa
145,Afghanistan,AFG,2001,48.979,9895467,9793166,19688632,14.1,0.337,,22.169,13.758,125.0,39.38840105436792,Asia
146,Angola,AGO,2001,47.574,8322504,8619083,16941587,15.6,0.386,,51.274,73.098,527.464118409977,41.76163182102037,Africa
147,Albania,ALB,2001,16.12,1516640,1543533,3060173,26.8,0.684,,42.435,39.942,1281.6598256178,45.98481890884496,Europe
148,United Arab Emirates,ARE,2001,16.525,2363814,1090383,3454198,26.3,0.8,,80.655,32.974,29909.0094348435,58.98468703198784,Asia
149,Argentina,ARG,2001,18.983,18484124,18996369,37480493,26.9,0.784,,89.329,40.958,7168.97587232911,42.75330308527128,South America
150,Armenia,ARM,2001,12.157,1477059,1656074,3133133,29.1,0.666,,64.385,48.088,676.150011307766,46.877631410905735,Asia
151,Australia,AUS,2001,12.7,9563615,9711085,19274701,34.7,0.9,,84.1,51.487,19695.7297379144,43.412211621832746,Oceania
152,Austria,AUT,2001,9.4,3894335,4147958,8042293,37.5,0.876,,59.934,47.32,24558.7636778868,41.69280164877985,Europe
153,Azerbaijan,AZE,2001,13.6,3904764,4206436,8111200,24.8,0.632,,51.587,62.119,703.670998584686,51.15757211135491,Asia
154,Burundi,BDI,2001,42.882,3183686,3282043,6465729,14.9,0.299,,8.461,81.479,135.606475784646,40.96055414264832,Africa
155,Belgium,BEL,2001,11.2,5030684,5255887,10286570,38.1,0.89,,97.186,38.965,23015.0712632462,40.04943162553313,Europe
156,Benin,BEN,2001,41.375,3576763,3635278,7212041,16.2,0.428,,38.65,64.064,508.34744771123,41.89597630442242,Africa
157,Burkina Faso,BFA,2001,44.812,6038895,6210869,12249764,15.5,0.299,,18.54,65.689,260.443473110803,41.46119959532236,Africa
158,Bangladesh,BGD,2001,28.49,67083138,64587346,131670484,20.0,0.492,,24.096,27.22,410.048540904043,48.20121343892971,Asia
159,Bulgaria,BGR,2001,8.5,3857899,4151243,8009142,38.9,0.734,,69.166,37.693,1770.90704918691,40.16169244722088,Europe
160,Bahrain,BHR,2001,20.129,431149,299108,730257,25.5,0.804,,88.369,34.574,12291.8326130535,53.95418035321749,Asia
161,Bosnia and Herzegovina,BIH,2001,9.816,2046480,2148452,4194932,33.2,0.672,,42.698,20.559,1382.7674599413,45.26030835224618,Europe
162,Belarus,BLR,2001,9.2,4623156,5305393,9928549,35.9,0.716,,70.458,48.936,1244.37318523431,42.95906085589106,Europe
163,Belize,BLZ,2001,29.845,125328,122772,248100,18.8,0.643,,45.381,33.215,4708.29493729742,47.25303815202168,North America
164,Bolivia,BOL,2001,29.052,4418319,4327765,8746084,19.8,0.632,,62.306,57.957,930.875684294239,43.914110401096224,South America
165,Brazil,BRA,2001,19.271,88233218,89978663,178211881,24.7,0.686,,81.553,44.689,3142.23513974908,49.14926637024343,South America
166,Barbados,BRB,2001,13.823,127156,138220,265377,32.8,0.756,,33.629,56.265,11510.0404330443,45.868542902619,North America
167,Botswana,BWA,2001,28.906,855998,905932,1761930,18.7,0.586,,54.062,38.239,3115.6789995428,49.20965370469301,Africa
168,Central African Republic,CAF,2001,42.809,1932553,1912220,3844773,15.8,0.332,,37.72,59.535,242.575726772934,43.44837414105069,Africa
169,Canada,CAN,2001,10.8,15366067,15654835,31020902,36.2,0.892,,79.81,55.658,23822.0601178964,43.59586840611157,North America
170,Switzerland,CHE,2001,10.0,3533011,3696843,7229854,37.9,0.89,,73.375,56.748,39638.7911061864,41.32944925577738,Europe
171,Chile,CHL,2001,15.658,7711571,7812408,15523978,28.3,0.768,,86.363,32.363,4610.59269464898,46.74969911643753,South America
172,China,CHN,2001,13.38,650413443,621436557,1271850000,29.5,0.593,,37.093,67.604,1053.11231446589,50.30313913195536,Asia
173,Ivory Coast,CIV,2001,44.194,8688294,8557174,17245468,16.2,0.456,,43.568,46.947,974.77998497188,44.31382369927261,Africa
174,Cameroon,CMR,2001,40.775,7689826,7803427,15493253,16.1,0.46,,46.139,72.713,706.984217524458,42.164026138772144,Africa
175,Colombia,COL,2001,21.576,19769644,20068231,39837875,23.3,0.667,,74.379,43.006,2465.00701162874,48.79801562977824,South America
176,Comoros,COM,2001,35.505,272077,275663,547741,15.6,0.47,,28.036,30.617,691.041978010695,41.554286294703545,Africa
177,Costa Rica,CRI,2001,19.104,2039504,2013719,4053222,24.8,0.715,,60.41,39.108,3941.59864349203,48.11825781054855,North America
178,Cuba,CUB,2001,12.171,5585454,5553672,11139127,32.7,0.7,,75.555,34.373,2844.24443674985,47.90721815159247,North America
179,Cyprus,CYP,2001,12.182,486510,478320,964830,30.8,0.804,,68.769,48.35,14821.447265625,46.56119334336846,Asia
180,Czechia,CZE,2001,8.9,4976754,5239852,10216605,36.7,0.818,,73.877,46.181,6637.04165713981,41.51385870815963,Europe
181,Germany,DEU,2001,8.9,40049852,42300074,82349925,39.4,0.896,,75.17,45.498,23628.3272122367,39.818206793170106,Europe
182,Djibouti,DJI,2001,33.123,380707,384784,765490,19.2,0.371,,76.578,9.781,747.779122941073,46.6216110857,Africa
183,Denmark,DNK,2001,12.2,2649869,2708914,5358783,37.5,0.895,,85.15,56.808,30751.654348268,39.50816393330102,Europe
184,Dominican Republic,DOM,2001,24.317,4397423,4271617,8669040,21.6,0.651,,62.565,33.76,2953.24784377211,47.72803223323067,North America
185,Algeria,DZA,2001,19.433,15912853,15288132,31200985,21.2,0.655,,60.712,9.017,1754.58236097572,50.91150603253863,Africa
186,Ecuador,ECU,2001,24.912,6432559,6412962,12845521,21.4,0.693,,60.799,44.47,1904.81367007224,46.50746410161173,South America
187,Spain,ESP,2001,9.9,20010746,20839665,40850412,36.8,0.83,,76.343,33.417,15369.0011599444,44.65629862181726,Europe
188,Estonia,EST,2001,9.1,646722,741392,1388115,37.3,0.797,,69.242,45.115,4505.85833233188,39.61617555510142,Europe
189,Ethiopia,ETH,2001,44.029,34630056,34388876,69018932,15.1,0.301,,14.927,68.626,119.261857260772,40.553326023217465,Africa
190,Finland,FIN,2001,10.8,2533485,2654524,5188008,38.7,0.9,,82.368,50.56,24967.7925153182,38.11017846725992,Europe
191,Fiji,FJI,2001,24.289,427971,413349,841320,21.4,0.686,,48.3,35.054,1964.13020427679,48.38290599117696,Oceania
192,France,FRA,2001,13.1,29761295,31606094,61367388,37.0,0.847,,76.127,43.734,22449.3396931175,40.18094897932595,Europe
